County,Total Voters,Democratic Voters,Republican Voters,Other Voters,Eligible Voters,% registered
ADAMS,72341,20050,40754,11537,82612,0.8756718152
ALLEGHENY,942747,539917,267977,134853,989472,0.9527778452
ARMSTRONG,44820,13658,25974,5188,52371,0.8558171507
BEAVER,116918,54252,47206,15460,132398,0.8830798048
BEDFORD,34238,7264,23728,3246,38720,0.8842458678
BERKS,272198,118361,110385,43452,327744,0.8305201621
BLAIR,80499,22054,48502,9943,97209,0.8281023362
BRADFORD,38861,9474,24253,5134,,
BUCKS,488074,208918,198649,80507,,
BUTLER,143225,43589,79579,20057,,
CAMBRIA,88273,38169,40752,9352,,
CAMERON,3112,933,1785,394,,
CARBON,46978,17826,21830,7322,,
CENTRE,112093,46883,44584,20626,,
CHESTER,380296,157346,155360,67590,,
CLARION,24383,6838,14802,2743,,
CLEARFIELD,49699,15482,28512,5705,,
CLINTON,22390,7614,11910,2866,,
COLUMBIA,39948,13705,20162,6081,,
CRAWFORD,56579,18419,31133,7027,,
CUMBERLAND,187258,64059,92614,30585,,
DAUPHIN,197778,90016,77448,30314,,
DELAWARE,425405,208141,160873,56391,,
ELK,20587,7603,10626,2358,,
ERIE,202684,98969,74620,29095,,
FAYETTE,82389,39849,34509,8031,,
FOREST,3508,1153,1971,384,,
FRANKLIN,100996,25027,61374,14595,,
FULTON,9837,2014,6801,1022,,
GREENE,22813,10134,10422,2257,,
HUNTINGDON,28426,7470,18021,2935,,
INDIANA,51795,17986,27199,6610,,
JEFFERSON,32032,8368,20005,3659,,
JUNIATA,14487,3364,9630,1493,,
LACKAWANNA,149406,85966,47060,16380,,
LANCASTER,354183,115277,181296,57610,,
LAWRENCE,57453,24175,26563,6715,,
LEBANON,92642,27645,50937,14060,,
LEHIGH,249418,119248,85508,44662,,
LUZERNE,220886,106360,86368,28158,,
LYCOMING,73763,20999,42864,9900,,
MCKEAN,25850,6510,15780,3560,,
MERCER,74909,29326,35755,9828,,
MIFFLIN,27361,6652,17703,3006,,
MONROE,118311,54517,40400,23394,,
MONTGOMERY,609137,301779,211847,95511,,
MONTOUR,14013,4810,6913,2290,,
NORTHAMPTON,227378,102460,81370,43548,,
NORTHUMBERLAND,57618,19168,30468,7982,,
PERRY,30027,6589,19669,3769,,
PHILADELPHIA,1129425,857041,130590,141794,1241890,0.9094404496
PIKE,44668,14841,20342,9485,,
POTTER,11310,2305,7755,1250,,
SCHUYLKILL,90423,30140,48778,11505,,
SNYDER,23700,5379,15382,2939,,
SOMERSET,49279,13788,30652,4839,,
SULLIVAN,4329,1286,2588,455,,
SUSQUEHANNA,27212,7268,16353,3591,,
TIOGA,26916,6033,17376,3507,,
UNION,26256,7901,14042,4313,,
VENANGO,33299,9738,19277,4284,,
WARREN,31431,9698,16761,4972,,
WASHINGTON,154023,67042,68220,18761,,
WAYNE,35687,9973,20052,5662,,
WESTMORELAND,253861,103430,119739,30692,,
WYOMING,18342,5354,10859,2129,,
YORK,311188,101560,159941,49687,,
